Symbol,Open,Close,O-C change (%),High,Low,H-L change (%),DateTime,Market Sensitive,Headline,Link
A3D,0.074,0.11,48.65,0.135,0.074,82.43,2020-07-06 13:50:00,True,Suspension from Official Quotation,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251984
KBC,0.071,0.071,0.0,0.071,0.071,0.0,2020-07-06 13:46:00,True,CRPN Extension and Conversion Option,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251983
SRI,0.052,0.051,-1.92,0.055,0.051,7.84,2020-07-06 13:45:00,False,Change of Director's Interest Notice,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251982
SIH,0.028,0.028,0.0,0.028,0.023,21.74,2020-07-06 13:39:00,False,Initial Director's Interest Notice,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251981
ARU,0.057,0.057,0.0,0.058,0.056,3.57,2020-07-06 13:27:00,False,Ceasing to be a substantial holder,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251980
CL8,0.008,0.008,0.0,0.008,0.008,0.0,2020-07-06 13:10:00,False,Completion of Small Holdings Sale Facility,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251979
A3D,0.074,0.11,48.65,0.135,0.074,82.43,2020-07-06 13:09:00,True,Pause in trading,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251978
TMZ,0.031,0.038,22.58,0.053,0.029,82.76,2020-07-06 13:07:00,True,Response to ASX Price Query,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251977
EGI,1.03,1.045,1.46,1.045,1.03,1.46,2020-07-06 13:01:00,False,Appendix 3Y,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251976
IHL,0.054,0.06,11.11,0.062,0.054,14.81,2020-07-06 12:57:00,False,Change in Director's Interest x 2,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251975
PPS,0.385,0.385,0.0,0.4,0.38,5.26,2020-07-06 12:52:00,True,JBWere renews VMA contract,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251974
HRN,0.46,0.445,-3.26,0.46,0.445,3.37,2020-07-06 12:47:00,False,Resignation of Director,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251973
IFT,4.55,4.5,-1.1,4.63,4.5,2.89,2020-07-06 12:46:00,False,Ongoing Disclosure Notice P Newfield,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251972
RAC,0.845,0.8,-5.33,0.845,0.785,7.64,2020-07-06 12:36:00,False,Cleansing Notice,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251971
RAC,0.845,0.8,-5.33,0.845,0.785,7.64,2020-07-06 12:35:00,False,Appendix 2A,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251970
IHL,0.054,0.06,11.11,0.062,0.054,14.81,2020-07-06 12:33:00,False,Change in Director's Notices x 2,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251969
QUB,2.79,2.74,-1.79,2.82,2.74,2.92,2020-07-06 12:25:00,False,Interest Payment - QUBHA,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251968
ECP,1.13,1.13,0.0,1.13,1.13,0.0,2020-07-06 12:12:00,False,Change in substantial holding,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251967
TGF,1.09,1.075,-1.38,1.09,1.075,1.4,2020-07-06 12:08:00,False,Weekly Estimate of Performance and Market Wrap,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251966
AFM,,,,,,,2020-07-06 12:04:00,False,mFund - Monthly Redemption Report - AFM01,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251965
FFR,0.07,0.065,-7.14,0.07,0.065,7.69,2020-07-06 12:01:00,False,Appendix 2A,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251964
FFR,0.07,0.065,-7.14,0.07,0.065,7.69,2020-07-06 11:58:00,False,Issue of Exclusivity Shares and Cleansing Statement,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251963
MXT,1.835,1.9,3.54,1.9,1.82,4.4,2020-07-06 11:56:00,False,Daily Fund Update,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251962
